text,label
把卧室灯帮我开,1
麻烦你启动原神,0
现在开启书房灯,1
帮我关客厅空调,1
现在启动客厅空调,1
请请关闭客厅空调,1
我想请打开阳台窗帘,1
把书房空调打开,1
现在帮我开卫生间热水器,1
我想开启书房风扇,1
帮我开启书房的风扇,1
开启书房窗帘,1
请请打开厨房热水器,1
把客厅灯打开,1
帮我今天天气怎么样,0
把客厅窗帘打开,1
打开浏览器,0
麻烦停止书房里面的灯,1
现在关掉卫生间灯,1
麻烦关掉客厅里面的空调,1
帮我开启客厅的灯,1
把客厅电视帮我关,1
现在打开卫生间热水器,1
把餐厅空调关掉,1
我想启动卫生间热水器,1
麻烦你我想学习Python编程,0
帮我打开阳台的窗帘,1
麻烦你搜索人工智能的发展历史,0
关掉客厅灯,1
现在停止卫生间热水器,1
把书房灯停止,1
帮我关卫生间热水器,1
现在帮我关客厅窗帘,1
麻烦关掉书房里面的窗帘,1
现在启动厨房油烟机,1
请打开卧室风扇,1
现在请打开卫生间灯,1
帮我停止卧室的窗帘,1
现在关闭餐厅风扇,1
麻烦请关闭客厅里面的空调,1
把卫生间热水器打开,1
现在停止厨房油烟机,1
现在帮我开餐厅灯,1
卧室的风扇请关闭一下,1
现在帮我开书房风扇,1
阳台的窗帘帮我关一下,1
把卧室灯帮我关,1
关掉餐厅空调,1
我想关掉客厅风扇,1
我想打开卧室空调,1
请打开阳台灯,1
书房的风扇停止一下,1
帮我停止卫生间的排风扇,1
现在请打开卫生间排风扇,1
帮我打开卧室的风扇,1
把卧室风扇打开,1
现在打开阳台窗帘,1
现在请关闭客厅空调,1
现在开启卧室风扇,1
帮我帮我打开浏览器,0
请打开阳台窗帘,1
小助手计算一下一百乘以二十三,0
你好帮我订一份外卖,0
帮我关掉厨房的热水器,1
麻烦关掉厨房里面的热水器,1
把客厅电视启动,1
现在停止书房窗帘,1
我想请打开客厅电视,1
麻烦关掉卫生间里面的热水器,1
我想请打开阳台灯,1
帮我帮我关餐厅的空调,1
小助手打开学习通,0
请关闭厨房热水器,1
现在请关闭客厅窗帘,1
帮我开阳台灯,1
请关闭客厅灯,1
请问讲一个笑话,0
现在打开书房灯,1
麻烦停止卧室里面的窗帘,1
餐厅的空调关闭一下,1
请关闭客厅电视,1
帮我请打开书房的灯,1
餐厅的风扇关掉一下,1
把卧室窗帘关闭,1
阳台的窗帘启动一下,1
帮我打开书房的灯,1
麻烦打开客厅里面的灯,1
帮我请打开客厅的风扇,1
你好关闭网页,0
把客厅电视关掉,1
我想请打开客厅灯,1
客厅的窗帘开启一下,1
请请打开卧室风扇,1
客厅的灯关掉一下,1
请关掉书房空调,1
启动客厅风扇,1
请关闭客厅风扇,1
关掉阳台窗帘,1
请打开书房窗帘,1
打开客厅灯,1
麻烦帮我开卫生间里面的热水器,1
请打开客厅空调,1
书房的灯请关闭一下,1
卫生间的热水器打开一下,1
打开微信,0
把客厅灯关掉,1
把卫生间排风扇关掉,1
现在启动书房窗帘,1
帮我明天早上七点叫我起床,0
卧室的灯启动一下,1
帮我打开微信,0
把客厅窗帘启动,1
帮我打开客厅的电视,1
我想启动餐厅空调,1
请关闭卧室窗帘,1
关掉卫生间排风扇,1
请关掉卧室风扇,1
帮我关闭播放器,0
厨房的灯打开一下,1
帮我帮我关卫生间的灯,1
请问我想玩游戏,0
帮我关闭厨房的油烟机,1
帮我启动客厅的灯,1
请请打开客厅灯,1
关掉书房灯,1
帮我帮我开厨房的油烟机,1
麻烦启动客厅里面的空调,1
帮我开餐厅空调,1
把卫生间热水器启动,1
把书房空调帮我关,1
帮我关掉餐厅的灯,1
把客厅电视请关闭,1
把阳台灯帮我开,1
麻烦打开卧室里面的风扇,1
关掉厨房油烟机,1
请打开卧室灯,1
请开启客厅灯,1
请帮我关客厅灯,1
把卫生间热水器打开,1
关闭游戏,0
现在请打开卧室灯,1
你好启动Python程序,0
我想帮我关卫生间热水器,1
我想关闭阳台灯,1
关闭网页,0
请停止阳台窗帘,1
关掉书房风扇,1
帮我启动卧室的窗帘,1
我想帮我关餐厅风扇,1
你好帮我打开视频,0
麻烦关掉餐厅里面的风扇,1
请打开客厅电视,1
把厨房灯启动,1
请启动客厅风扇,1
关闭厨房灯,1
我想打开客厅电视,1
请启动卧室窗帘,1
我想帮我开客厅风扇,1
现在请打开客厅风扇,1
开启卫生间灯,1
请启动客厅窗帘,1
厨房的热水器停止一下,1
帮我帮我开客厅的电视,1
我想停止书房风扇,1
把客厅空调打开,1
帮我停止卧室的空调,1
启动阳台灯,1
打开阳台灯,1
现在关掉厨房灯,1
